Date,Price,Open,High,Low,Vol.,Change %
2001-01-02,"1,599.00","1,599.00","1,599.00","1,599.00",,0.00%
2001-01-03,"1,596.00","1,596.00","1,596.00","1,596.00",,-0.19%
2001-01-04,"1,594.00","1,594.00","1,594.00","1,594.00",,-0.13%
2001-01-05,"1,591.00","1,591.00","1,591.00","1,591.00",,-0.19%
2001-01-08,"1,591.00","1,591.00","1,591.00","1,591.00",,0.00%
2001-01-09,"1,593.00","1,593.00","1,593.00","1,593.00",,0.13%
2001-01-10,"1,592.00","1,592.00","1,592.00","1,592.00",,-0.06%
2001-01-11,"1,587.00","1,587.00","1,587.00","1,587.00",,-0.31%
2001-01-12,"1,582.00","1,582.00","1,582.00","1,582.00",,-0.32%
2001-01-15,"1,581.00","1,581.00","1,581.00","1,581.00",,-0.06%
2001-01-16,"1,579.00","1,579.00","1,579.00","1,579.00",,-0.13%
2001-01-17,"1,573.00","1,573.00","1,573.00","1,573.00",,-0.38%
2001-01-18,"1,567.00","1,567.00","1,567.00","1,567.00",,-0.38%
2001-01-19,"1,566.00","1,566.00","1,566.00","1,566.00",,-0.06%
2001-01-22,"1,559.00","1,559.00","1,559.00","1,559.00",,-0.45%
2001-01-23,"1,552.00","1,552.00","1,552.00","1,552.00",,-0.45%
2001-01-24,"1,543.00","1,543.00","1,543.00","1,543.00",,-0.58%
2001-01-25,"1,537.00","1,537.00","1,537.00","1,537.00",,-0.39%
2001-01-26,"1,528.00","1,528.00","1,528.00","1,528.00",,-0.59%
2001-01-29,"1,523.00","1,523.00","1,523.00","1,523.00",,-0.33%
2001-01-30,"1,514.00","1,514.00","1,514.00","1,514.00",,-0.59%
2001-01-31,"1,504.00","1,504.00","1,504.00","1,504.00",,-0.66%
2001-02-01,"1,493.00","1,493.00","1,493.00","1,493.00",,-0.73%
2001-02-02,"1,488.00","1,488.00","1,488.00","1,488.00",,-0.33%
2001-02-05,"1,480.00","1,480.00","1,480.00","1,480.00",,-0.54%
2001-02-06,"1,472.00","1,472.00","1,472.00","1,472.00",,-0.54%
2001-02-07,"1,461.00","1,461.00","1,461.00","1,461.00",,-0.75%
2001-02-08,"1,455.00","1,455.00","1,455.00","1,455.00",,-0.41%
2001-02-09,"1,449.00","1,449.00","1,449.00","1,449.00",,-0.41%
2001-02-12,"1,445.00","1,445.00","1,445.00","1,445.00",,-0.28%
2001-02-13,"1,445.00","1,445.00","1,445.00","1,445.00",,0.00%
