Date,Price,Open,High,Low,Vol.,Change %
2001-01-02,192.92,192.92,192.92,192.92,,-1.54%
2001-01-03,193.53,193.53,193.53,193.53,,0.32%
2001-01-04,194.97,194.97,194.97,194.97,,0.74%
2001-01-05,195.54,195.54,195.54,195.54,,0.29%
2001-01-08,195.49,195.49,195.49,195.49,,-0.03%
2001-01-09,195.82,195.82,195.82,195.82,,0.17%
2001-01-10,198.75,198.75,198.75,198.75,,1.50%
2001-01-11,198.19,198.19,198.19,198.19,,-0.28%
2001-01-12,199.17,199.17,199.17,199.17,,0.49%
2001-01-16,198.53,198.53,198.53,198.53,,-0.32%
2001-01-17,196.78,196.78,196.78,196.78,,-0.88%
2001-01-18,199.04,199.04,199.04,199.04,,1.15%
2001-01-19,201.95,201.95,201.95,201.95,,1.46%
2001-01-22,202.4,202.4,202.4,202.4,,0.22%
2001-01-23,200.67,200.67,200.67,200.67,,-0.86%
2001-01-24,199.28,199.28,199.28,199.28,,-0.69%
2001-01-25,199.78,199.78,199.78,199.78,,0.25%
2001-01-26,200.97,200.97,200.97,200.97,,0.60%
2001-01-29,197.4,197.4,197.4,197.4,,-1.78%
2001-01-30,197.55,197.55,197.55,197.55,,0.07%
2001-01-31,195.57,195.57,195.57,195.57,,-1.00%
2001-02-01,199.82,199.82,199.82,199.82,,2.17%
2001-02-02,203.36,203.36,203.36,203.36,,1.77%
2001-02-05,200.56,200.56,200.56,200.56,,-1.38%
2001-02-06,200.69,200.69,200.69,200.69,,0.07%
2001-02-07,203.06,203.06,203.06,203.06,,1.18%
2001-02-08,203.0,203.0,203.0,203.0,,-0.03%
2001-02-09,201.56,201.56,201.56,201.56,,-0.71%
2001-02-12,199.99,199.99,199.99,199.99,,-0.78%
2001-02-13,200.71,200.71,200.71,200.71,,0.37%
2001-02-14,198.65,198.65,198.65,198.65,,-1.03%
2001-02-15,196.37,196.37,196.37,196.37,,-1.15%
2001-02-16,197.42,197.42,197.42,197.42,,0.54%
2001-02-20,196.21,196.21,196.21,196.21,,-0.61%
2001-02-21,195.51,195.51,195.51,195.51,,-0.36%
2001-02-22,195.08,195.08,195.08,195.08,,-0.22%
2001-02-23,195.77,195.77,195.77,195.77,,0.36%
2001-02-26,194.08,194.08,194.08,194.08,,-0.86%
2001-02-27,194.18,194.18,194.18,194.18,,0.05%
2001-02-28,193.5,193.5,193.5,193.5,,-0.35%
2001-03-01,193.94,193.94,193.94,193.94,,0.22%
2001-03-02,195.17,195.17,195.17,195.17,,0.63%
2001-03-05,196.89,196.89,196.89,196.89,,0.88%
2001-03-06,196.3,196.3,196.3,196.3,,-0.30%
2001-03-07,197.49,197.49,197.49,197.49,,0.61%
2001-03-08,195.55,195.55,195.55,195.55,,-0.98%
2001-03-09,194.13,194.13,194.13,194.13,,-0.73%
2001-03-12,193.83,193.83,193.83,193.83,,-0.16%
2001-03-13,192.18,192.18,192.18,192.18,,-0.85%
2001-03-14,188.16,188.16,188.16,188.16,,-2.09%
2001-03-15,187.05,187.05,187.05,187.05,,-0.59%
2001-03-16,186.52,186.52,186.52,186.52,,-0.28%
2001-03-19,185.55,185.55,185.55,185.55,,-0.52%
2001-03-20,185.63,185.63,185.63,185.63,,0.04%
2001-03-21,186.12,186.12,186.12,186.12,,0.27%
2001-03-22,185.39,185.39,185.39,185.39,,-0.39%
2001-03-23,187.73,187.73,187.73,187.73,,1.26%
2001-03-26,189.17,189.17,189.17,189.17,,0.77%
2001-03-27,190.56,190.56,190.56,190.56,,0.74%
2001-03-28,186.26,186.26,186.26,186.26,,-2.25%
2001-03-29,185.75,185.75,185.75,185.75,,-0.28%
2001-03-30,183.27,183.27,183.27,183.27,,-1.34%
2001-04-02,181.93,181.93,181.93,181.93,,-0.73%
2001-04-03,183.6,183.6,183.6,183.6,,0.92%
2001-04-04,186.46,186.46,186.46,186.46,,1.56%
2001-04-05,187.48,187.48,187.48,187.48,,0.55%
2001-04-06,186.78,186.78,186.78,186.78,,-0.37%
2001-04-09,187.63,187.63,187.63,187.63,,0.46%
2001-04-10,190.42,190.42,190.42,190.42,,1.49%
2001-04-11,189.86,189.86,189.86,189.86,,-0.29%
2001-04-12,190.14,190.14,190.14,190.14,,0.15%
2001-04-16,191.96,191.96,191.96,191.96,,0.96%
2001-04-17,190.56,190.56,190.56,190.56,,-0.73%
2001-04-18,190.46,190.46,190.46,190.46,,-0.05%
2001-04-19,189.32,189.32,189.32,189.32,,-0.60%
2001-04-20,187.88,187.88,187.88,187.88,,-0.76%
2001-04-23,187.81,187.81,187.81,187.81,,-0.04%
2001-04-24,185.97,185.97,185.97,185.97,,-0.98%
2001-04-25,186.68,186.68,186.68,186.68,,0.38%
2001-04-26,189.69,189.69,189.69,189.69,,1.61%
2001-04-27,189.19,189.19,189.19,189.19,,-0.26%
2001-04-30,189.62,189.62,189.62,189.62,,0.23%
2001-05-01,191.44,191.44,191.44,191.44,,0.96%
2001-05-02,189.2,189.2,189.2,189.2,,-1.17%
2001-05-03,191.22,191.22,191.22,191.22,,1.07%
2001-05-04,190.62,190.62,190.62,190.62,,-0.31%
2001-05-07,189.37,189.37,189.37,189.37,,-0.66%
2001-05-08,189.2,189.2,189.2,189.2,,-0.09%
2001-05-09,189.7,189.7,189.7,189.7,,0.26%
2001-05-10,190.06,190.06,190.06,190.06,,0.19%
2001-05-11,189.28,189.28,189.28,189.28,,-0.41%
2001-05-14,189.43,189.43,189.43,189.43,,0.08%
2001-05-15,190.83,190.83,190.83,190.83,,0.74%
2001-05-16,190.13,190.13,190.13,190.13,,-0.36%
2001-05-17,190.5,190.5,190.5,190.5,,0.19%
2001-05-18,194.03,194.03,194.03,194.03,,1.85%
2001-05-21,193.33,193.33,193.33,193.33,,-0.36%
2001-05-22,192.25,192.25,192.25,192.25,,-0.56%
2001-05-23,191.39,191.39,191.39,191.39,,-0.45%
2001-05-24,188.81,188.81,188.81,188.81,,-1.35%
2001-05-25,186.88,186.88,186.88,186.88,,-1.02%
2001-05-29,185.27,185.27,185.27,185.27,,-0.86%
2001-05-30,184.34,184.34,184.34,184.34,,-0.50%
2001-05-31,183.68,183.68,183.68,183.68,,-0.36%
2001-06-01,183.6,183.6,183.6,183.6,,-0.04%
2001-06-04,183.65,183.65,183.65,183.65,,0.03%
2001-06-05,183.9,183.9,183.9,183.9,,0.14%
2001-06-06,182.65,182.65,182.65,182.65,,-0.68%
2001-06-07,182.27,182.27,182.27,182.27,,-0.21%
2001-06-08,184.05,184.05,184.05,184.05,,0.98%
2001-06-11,185.09,185.09,185.09,185.09,,0.56%
2001-06-12,186.16,186.16,186.16,186.16,,0.57%
2001-06-13,185.21,185.21,185.21,185.21,,-0.51%
2001-06-14,185.37,185.37,185.37,185.37,,0.08%
2001-06-15,182.98,182.98,182.98,182.98,,-1.29%
2001-06-18,181.53,181.53,181.53,181.53,,-0.79%
2001-06-19,181.34,181.34,181.34,181.34,,-0.10%
