Date,Price,Open,High,Low,Vol.,Change %
2002-11-13,122.88,122.88,122.88,122.88,,2.22%
2002-11-14,130.29,130.29,130.29,130.29,,6.03%
2002-11-15,132.35,132.35,132.35,132.35,,1.58%
2002-11-18,129.14,129.14,129.14,129.14,,-2.43%
2002-11-19,126.49,126.49,126.49,126.49,,-2.05%
2002-11-20,125.87,125.87,125.87,125.87,,-0.49%
2002-11-21,127.02,127.02,127.02,127.02,,0.91%
2002-11-22,126.27,126.27,126.27,126.27,,-0.59%
2002-11-25,120.84,120.84,120.84,120.84,,-4.30%
2002-11-26,120.81,120.81,120.81,120.81,,-0.02%
2002-11-27,128.31,128.31,128.31,128.31,,6.21%
2002-11-29,127.52,127.52,127.52,127.52,,-0.62%
2002-12-02,127.52,127.52,127.52,127.52,,0.00%
2002-12-03,130.64,130.64,130.64,130.64,,2.45%
2002-12-04,131.06,131.06,131.06,131.06,,0.32%
2002-12-05,130.44,130.44,130.44,130.44,,-0.47%
2002-12-06,128.46,128.46,128.46,128.46,,-1.52%
2002-12-09,122.96,122.96,122.96,122.96,,-4.28%
2002-12-10,115.59,115.59,115.59,115.59,,-5.99%
2002-12-11,118.33,118.33,118.33,118.33,,2.37%
2002-12-12,117.16,117.16,117.16,117.16,,-0.99%
2002-12-13,116.21,116.21,116.21,116.21,,-0.81%
2002-12-16,120.33,120.33,120.33,120.33,,3.55%
2002-12-17,119.83,119.83,119.83,119.83,,-0.42%
2002-12-18,118.63,118.63,118.63,118.63,,-1.00%
2002-12-19,124.07,124.07,124.07,124.07,,4.59%
2002-12-20,125.25,125.25,125.25,125.25,,0.95%
2002-12-23,124.78,124.78,124.78,124.78,,-0.38%
2002-12-24,121.25,121.25,121.25,121.25,,-2.83%
2002-12-26,118.61,118.61,118.61,118.61,,-2.18%
2002-12-27,123.87,123.87,123.87,123.87,,4.43%
2002-12-30,123.72,123.72,123.72,123.72,,-0.12%
2002-12-31,123.89,123.89,123.89,123.89,,0.14%
2003-01-02,130.87,130.87,130.87,130.87,,5.63%
2003-01-06,124.83,124.83,124.83,124.83,,-4.62%
2003-01-07,117.53,117.53,117.53,117.53,,-5.85%
2003-01-08,119.42,119.42,119.42,119.42,,1.61%
2003-01-09,125.08,125.08,125.08,125.08,,4.74%
2003-01-10,120.02,120.02,120.02,120.02,,-4.05%
2003-01-13,119.79,119.79,119.79,119.79,,-0.19%
2003-01-14,114.16,114.16,114.16,114.16,,-4.70%
2003-01-15,115.35,115.35,115.35,115.35,,1.04%
2003-01-16,115.15,115.15,115.15,115.15,,-0.17%
2003-01-17,116.02,116.02,116.02,116.02,,0.76%
2003-01-21,114.8,114.8,114.8,114.8,,-1.05%
2003-01-22,109.94,109.94,109.94,109.94,,-4.23%
2003-01-23,107.73,107.73,107.73,107.73,,-2.01%
2003-01-24,109.41,109.41,109.41,109.41,,1.56%
2003-01-27,117.73,117.73,117.73,117.73,,7.60%
2003-01-28,116.89,116.89,116.89,116.89,,-0.71%
