Date,PMI,PMI1
2001-08-01,43.5,43.2
2001-08-02,43.5,43.2
2001-08-03,43.5,43.2
2001-08-04,43.5,43.2
2001-08-05,43.5,43.2
2001-08-06,43.5,43.2
2001-08-07,43.5,43.2
2001-08-08,43.5,43.2
2001-08-09,43.5,43.2
2001-08-10,43.5,43.2
2001-08-11,43.5,43.2
2001-08-12,43.5,43.2
2001-08-13,43.5,43.2
2001-08-14,43.5,43.2
2001-08-15,43.5,43.2
2001-08-16,43.5,43.2
2001-08-17,43.5,43.2
2001-08-18,43.5,43.2
2001-08-19,43.5,43.2
2001-08-20,43.5,43.2
2001-08-21,43.5,43.2
2001-08-22,43.5,43.2
2001-08-23,43.5,43.2
2001-08-24,43.5,43.2
2001-08-25,43.5,43.2
2001-08-26,43.5,43.2
2001-08-27,43.5,43.2
2001-08-28,43.5,43.2
2001-08-29,43.5,43.2
2001-08-30,43.5,43.2
2001-08-31,43.5,43.2
2001-09-01,46.3,43.5
2001-09-02,46.3,43.5
2001-09-03,46.3,43.5
2001-09-04,46.3,43.5
2001-09-05,46.3,43.5
2001-09-06,46.3,43.5
2001-09-07,46.3,43.5
2001-09-08,46.3,43.5
2001-09-09,46.3,43.5
2001-09-10,46.3,43.5
2001-09-11,46.3,43.5
2001-09-12,46.3,43.5
2001-09-13,46.3,43.5
2001-09-14,46.3,43.5
2001-09-15,46.3,43.5
2001-09-16,46.3,43.5
2001-09-17,46.3,43.5
2001-09-18,46.3,43.5
2001-09-19,46.3,43.5
2001-09-20,46.3,43.5
2001-09-21,46.3,43.5
2001-09-22,46.3,43.5
2001-09-23,46.3,43.5
2001-09-24,46.3,43.5
2001-09-25,46.3,43.5
2001-09-26,46.3,43.5
2001-09-27,46.3,43.5
2001-09-28,46.3,43.5
2001-09-29,46.3,43.5
2001-09-30,46.3,43.5
2001-10-01,46.2,46.3
2001-10-02,46.2,46.3
2001-10-03,46.2,46.3
2001-10-04,46.2,46.3
2001-10-05,46.2,46.3
2001-10-06,46.2,46.3
2001-10-07,46.2,46.3
2001-10-08,46.2,46.3
2001-10-09,46.2,46.3
2001-10-10,46.2,46.3
2001-10-11,46.2,46.3
2001-10-12,46.2,46.3
2001-10-13,46.2,46.3
2001-10-14,46.2,46.3
2001-10-15,46.2,46.3
2001-10-16,46.2,46.3
2001-10-17,46.2,46.3
2001-10-18,46.2,46.3
2001-10-19,46.2,46.3
2001-10-20,46.2,46.3
2001-10-21,46.2,46.3
2001-10-22,46.2,46.3
2001-10-23,46.2,46.3
2001-10-24,46.2,46.3
2001-10-25,46.2,46.3
2001-10-26,46.2,46.3
2001-10-27,46.2,46.3
2001-10-28,46.2,46.3
2001-10-29,46.2,46.3
2001-10-30,46.2,46.3
2001-10-31,46.2,46.3
2001-11-01,40.8,46.2
2001-11-02,40.8,46.2
2001-11-03,40.8,46.2
2001-11-04,40.8,46.2
2001-11-05,40.8,46.2
2001-11-06,40.8,46.2
2001-11-07,40.8,46.2
2001-11-08,40.8,46.2
2001-11-09,40.8,46.2
2001-11-10,40.8,46.2
2001-11-11,40.8,46.2
2001-11-12,40.8,46.2
2001-11-13,40.8,46.2
2001-11-14,40.8,46.2
2001-11-15,40.8,46.2
2001-11-16,40.8,46.2
2001-11-17,40.8,46.2
2001-11-18,40.8,46.2
2001-11-19,40.8,46.2
2001-11-20,40.8,46.2
2001-11-21,40.8,46.2
2001-11-22,40.8,46.2
2001-11-23,40.8,46.2
2001-11-24,40.8,46.2
2001-11-25,40.8,46.2
2001-11-26,40.8,46.2
2001-11-27,40.8,46.2
2001-11-28,40.8,46.2
2001-11-29,40.8,46.2
2001-11-30,40.8,46.2
2001-12-01,44.1,40.8
2001-12-02,44.1,40.8
2001-12-03,44.1,40.8
2001-12-04,44.1,40.8
2001-12-05,44.1,40.8
2001-12-06,44.1,40.8
2001-12-07,44.1,40.8
2001-12-08,44.1,40.8
2001-12-09,44.1,40.8
2001-12-10,44.1,40.8
2001-12-11,44.1,40.8
2001-12-12,44.1,40.8
2001-12-13,44.1,40.8
