time,open,high,low,close,Volume,Volume MA
2007-01-23,0.645,0.827,0.587,0.691,NaN,NaN
2007-01-24,0.696,0.729,0.558,0.635,NaN,NaN
2007-01-25,0.622,0.845,0.565,0.825,NaN,NaN
2007-01-26,0.774,0.796,0.555,0.768,NaN,NaN
2007-01-29,0.65,1.023,0.568,0.684,NaN,NaN
2007-01-30,0.754,0.851,0.635,0.711,NaN,NaN
2007-01-31,0.593,0.674,0.467,0.646,NaN,NaN
2007-02-01,0.586,0.689,0.559,0.639,NaN,NaN
2007-02-02,0.533,0.834,0.482,0.828,NaN,NaN
2007-02-05,0.502,0.722,0.455,0.617,NaN,NaN
2007-02-06,0.504,0.615,0.468,0.6,NaN,NaN
2007-02-07,0.74,0.764,0.464,0.74,NaN,NaN
2007-02-08,0.518,0.79,0.518,0.649,NaN,NaN
2007-02-09,0.557,0.871,0.507,0.762,NaN,NaN
2007-02-12,0.662,1,0.612,0.867,NaN,NaN
2007-02-13,0.754,0.864,0.614,0.826,NaN,NaN
2007-02-14,0.707,0.846,0.538,0.814,NaN,NaN
2007-02-15,0.605,0.748,0.557,0.59,NaN,NaN
2007-02-16,0.881,0.981,0.563,0.6,NaN,NaN
2007-02-20,0.612,0.715,0.584,0.714,NaN,NaN
2007-02-21,0.807,0.893,0.71,0.785,NaN,NaN
2007-02-22,0.732,0.853,0.655,0.763,NaN,NaN
2007-02-23,0.733,0.885,0.651,0.829,NaN,NaN
2007-02-26,0.468,0.836,0.468,0.823,NaN,NaN
2007-02-27,0.788,1.669,0.788,1.487,NaN,NaN
2007-02-28,0.781,1.076,0.781,0.915,NaN,NaN
2007-03-01,1.276,1.276,0.971,1.021,NaN,NaN
2007-03-02,0.902,1.133,0.718,1.094,NaN,NaN
2007-03-05,0.902,1.133,0.718,1.094,NaN,NaN
2007-03-06,0.902,1.133,0.718,1.094,NaN,NaN
2007-03-07,0.902,1.133,0.718,1.094,NaN,NaN
2007-03-08,0.902,1.133,0.718,1.094,NaN,NaN
2007-03-09,0.627,0.854,0.627,0.822,NaN,NaN
2007-03-12,0.627,0.854,0.627,0.75,NaN,NaN
2007-03-13,0.829,1.128,0.829,0.977,NaN,NaN
2007-03-14,0.72,0.963,0.679,0.867,NaN,NaN
2007-03-15,0.608,0.853,0.598,0.784,NaN,NaN
2007-03-16,0.653,0.841,0.587,0.827,NaN,NaN
2007-03-19,0.468,0.625,0.468,0.612,NaN,NaN
2007-03-20,0.624,0.836,0.565,0.716,NaN,NaN
2007-03-21,0.533,0.701,0.397,0.665,NaN,NaN
2007-03-22,0.454,0.673,0.454,0.614,NaN,NaN
2007-03-23,0.515,0.687,0.514,0.656,NaN,NaN
2007-03-26,0.618,0.816,0.556,0.692,NaN,NaN
2007-03-27,0.466,0.642,0.466,0.611,NaN,NaN
2007-03-28,0.747,0.892,0.621,0.88,NaN,NaN
2007-03-29,0.585,0.771,0.585,0.765,NaN,NaN
2007-03-30,0.528,0.752,0.495,0.663,NaN,NaN
2007-04-02,0.528,0.752,0.495,0.626,NaN,NaN
2007-04-03,0.611,0.662,0.547,0.662,NaN,NaN
2007-04-04,0.621,0.771,0.53,0.724,NaN,NaN
2007-04-05,0.738,0.8,0.479,0.537,NaN,NaN
2007-04-09,0.416,0.608,0.416,0.594,NaN,NaN
2007-04-10,0.508,0.707,0.508,0.663,NaN,NaN
2007-04-11,1.012,1.012,0.451,0.683,NaN,NaN
2007-04-12,0.612,0.738,0.612,0.694,NaN,NaN
2007-04-13,0.608,0.669,0.513,0.655,NaN,NaN
2007-04-16,0.53,0.584,0.495,0.52,NaN,NaN
2007-04-17,0.506,0.672,0.494,0.671,NaN,NaN
2007-04-18,0.509,0.672,0.509,0.531,NaN,NaN
2007-04-19,0.53,0.681,0.482,0.622,NaN,NaN
2007-04-20,0.628,0.628,0.45,0.497,NaN,NaN
2007-04-23,0.469,0.577,0.447,0.576,NaN,NaN
2007-04-24,0.688,0.723,0.544,0.723,NaN,NaN
2007-04-25,0.506,0.646,0.496,0.601,NaN,NaN
2007-04-26,0.562,0.706,0.533,0.596,NaN,NaN
2007-04-27,0.562,0.706,0.533,0.571,NaN,NaN
2007-04-30,0.567,0.632,0.524,0.614,NaN,NaN
2007-05-01,0.567,0.73,0.4,0.724,NaN,NaN
2007-05-02,0.625,0.625,0.465,0.557,NaN,NaN
2007-05-03,0.2,0.884,0.2,0.641,NaN,NaN
2007-05-04,0.617,0.932,0.436,0.534,NaN,NaN
2007-05-07,0.397,0.563,0.383,0.452,NaN,NaN
2007-05-08,0.426,0.626,0.426,0.596,NaN,NaN
2007-05-09,0.426,0.626,0.422,0.533,NaN,NaN
2007-05-10,0.588,0.76,0.588,0.688,NaN,NaN
2007-05-11,0.618,0.797,0.513,0.625,NaN,NaN
2007-05-14,0.749,0.749,0.432,0.502,NaN,NaN
2007-05-15,0.749,0.749,0.432,0.502,NaN,NaN
2007-05-16,0.749,0.749,0.432,0.502,NaN,NaN
2007-05-17,0.526,0.565,0.45,0.492,NaN,NaN
2007-05-18,0.749,0.749,0.432,0.502,NaN,NaN
2007-05-21,0.749,0.749,0.432,0.502,NaN,NaN
2007-05-22,0.563,0.643,0.482,0.599,NaN,NaN
2007-05-23,0.749,0.749,0.432,0.502,NaN,NaN
2007-05-24,0.749,0.749,0.432,0.502,NaN,NaN
2007-05-25,0.531,0.689,0.528,0.556,NaN,NaN
2007-05-29,0.481,0.603,0.479,0.575,NaN,NaN
2007-05-30,0.619,0.737,0.567,0.665,NaN,NaN
2007-05-31,0.439,0.53,0.352,0.515,NaN,NaN
2007-06-01,0.506,0.548,0.422,0.508,NaN,NaN
2007-06-04,0.527,0.527,0.46,0.523,NaN,NaN
2007-06-05,0.69,0.69,0.543,0.632,NaN,NaN
2007-06-06,0.548,0.627,0.457,0.608,NaN,NaN
2007-06-07,0.551,0.725,0.51,0.723,NaN,NaN
2007-06-08,0.582,0.643,0.573,0.593,NaN,NaN
2007-06-11,0.534,0.893,0.534,0.705,NaN,NaN
2007-06-12,0.601,0.887,0.601,0.652,NaN,NaN
2007-06-13,0.576,0.752,0.557,0.576,NaN,NaN
2007-06-14,0.547,0.553,0.458,0.531,NaN,NaN
2007-06-15,0.454,0.507,0.422,0.479,NaN,NaN
2007-06-18,0.46,0.647,0.46,0.572,NaN,NaN
2007-06-19,0.465,0.671,0.453,0.657,NaN,NaN
2007-06-20,0.516,0.659,0.514,0.618,NaN,NaN
2007-06-21,0.495,0.701,0.462,0.606,NaN,NaN
2007-06-22,0.532,0.71,0.515,0.627,NaN,NaN
2007-06-25,0.713,0.776,0.568,0.745,NaN,NaN
2007-06-26,0.575,0.691,0.5,0.691,NaN,NaN
2007-06-27,0.664,0.725,0.623,0.643,NaN,NaN
2007-06-28,0.55,0.581,0.458,0.574,NaN,NaN
2007-06-29,0.597,0.648,0.513,0.641,NaN,NaN
2007-07-02,0.444,0.684,0.444,0.535,NaN,NaN
2007-07-03,0.436,0.571,0.399,0.57,NaN,NaN
2007-07-05,0.493,0.591,0.46,0.551,NaN,NaN
2007-07-06,0.54,0.54,0.45,0.526,NaN,NaN
2007-07-09,0.526,0.541,0.434,0.515,NaN,NaN
2007-07-10,0.45,0.592,0.406,0.592,NaN,NaN
2007-07-11,0.44,0.633,0.44,0.568,NaN,NaN
2007-07-12,0.325,0.493,0.325,0.479,NaN,NaN
2007-07-13,0.419,0.516,0.373,0.499,NaN,NaN
2007-07-16,0.4,0.538,0.374,0.533,NaN,NaN
2007-07-17,0.364,0.714,0.364,0.608,NaN,NaN
2007-07-18,0.486,0.831,0.486,0.725,NaN,NaN
2007-07-19,0.512,0.582,0.486,0.534,NaN,NaN
2007-07-20,0.491,0.697,0.47,0.687,NaN,NaN
2007-07-23,0.391,0.542,0.391,0.534,NaN,NaN
2007-07-24,0.533,0.795,0.505,0.793,NaN,NaN
2007-07-25,0.526,0.65,0.454,0.64,NaN,NaN
2007-07-26,0.788,0.903,0.787,0.842,NaN,NaN
2007-07-27,0.671,0.883,0.651,0.764,NaN,NaN
2007-07-30,0.686,0.779,0.655,0.714,NaN,NaN
2007-07-31,0.541,0.751,0.472,0.717,NaN,NaN
2007-08-01,0.398,0.882,0.398,0.877,NaN,NaN
2007-08-02,0.746,0.806,0.647,0.781,NaN,NaN
2007-08-03,0.698,0.859,0.698,0.783,NaN,NaN
2007-08-06,0.746,0.927,0.746,0.844,NaN,NaN
2007-08-07,0.73,0.742,0.621,0.688,NaN,NaN
