time,open,high,low,close,Volume,Volume MA
2007-01-23,2.79,4.926,0.992,1.74,NaN,NaN
2007-01-24,1.108,3.707,1.108,1.694,NaN,NaN
2007-01-25,1.215,2.849,0.44,2.472,NaN,NaN
2007-01-26,0.375,2.08,0.266,1.503,NaN,NaN
2007-01-29,1.54,12.547,0.955,2.551,NaN,NaN
2007-01-30,0.153,3.457,0.153,2.1,NaN,NaN
2007-01-31,4.138,4.138,0.987,1.414,NaN,NaN
2007-02-01,1.862,1.862,0.614,1.595,NaN,NaN
2007-02-02,1.835,2.769,0.83,1.398,NaN,NaN
2007-02-05,1.597,5.517,0.702,1.937,NaN,NaN
2007-02-06,0.838,9.173,0.693,2.142,NaN,NaN
2007-02-07,3.067,3.067,0.785,1.476,NaN,NaN
2007-02-08,3.067,3.067,0.294,1.729,NaN,NaN
2007-02-09,0.624,1.465,0.527,1.46,NaN,NaN
2007-02-12,6.585,6.585,0.936,2.017,NaN,NaN
2007-02-13,0.503,1.732,0.464,1.345,NaN,NaN
2007-02-14,4.501,4.501,1.228,1.237,NaN,NaN
2007-02-15,0.896,1.515,0.516,1.113,NaN,NaN
2007-02-16,0.901,3.419,0.527,1.72,NaN,NaN
2007-02-20,2.093,2.519,0.322,1.515,NaN,NaN
2007-02-21,5.309,5.309,1.722,2.17,NaN,NaN
2007-02-22,0.308,2.716,0.308,1.972,NaN,NaN
2007-02-23,1.132,4.288,0.457,4.005,NaN,NaN
2007-02-26,0.769,2.086,0.357,1.955,NaN,NaN
2007-02-27,0.769,3.083,0.065,2.198,NaN,NaN
2007-02-28,0.769,3.083,0.065,1.416,NaN,NaN
2007-03-01,1.381,3.002,0.963,2.397,NaN,NaN
2007-03-02,1.451,2.573,1.264,1.635,NaN,NaN
2007-03-05,1.451,2.573,1.264,1.635,NaN,NaN
2007-03-06,1.451,2.573,1.264,1.635,NaN,NaN
2007-03-07,1.451,2.573,1.264,1.635,NaN,NaN
2007-03-08,1.451,2.573,1.264,1.635,NaN,NaN
