time,open,high,low,close,Volume,Volume MA
3/6/2006,71.73,71.73,71.73,71.73,NaN,NaN
3/15/2006,15.71,15.71,15.71,15.71,NaN,NaN
3/16/2006,27.94,27.94,27.94,27.94,NaN,NaN
3/17/2006,28.6,28.6,28.6,28.6,NaN,NaN
3/20/2006,37.93,37.93,37.93,37.93,NaN,NaN
3/21/2006,37.35,37.35,37.35,37.35,NaN,NaN
4/11/2006,69.55,69.55,69.55,69.55,NaN,NaN
4/24/2006,63.42,63.42,63.42,63.42,NaN,NaN
4/25/2006,61.33,61.33,61.33,61.33,NaN,NaN
5/1/2006,61.96,61.96,61.96,61.96,NaN,NaN
5/22/2006,91.76,91.76,91.76,91.76,NaN,NaN
5/23/2006,88.66,88.66,88.66,88.66,NaN,NaN
5/24/2006,88.63,88.63,88.63,88.63,NaN,NaN
5/25/2006,82.64,82.64,82.64,82.64,NaN,NaN
5/26/2006,72.5,72.5,72.5,72.5,NaN,NaN
5/30/2006,82.14,82.14,82.14,82.14,NaN,NaN
5/31/2006,77.44,77.44,77.44,77.44,NaN,NaN
6/1/2006,74.08,74.08,74.08,74.08,NaN,NaN
6/2/2006,70.27,70.27,70.27,70.27,NaN,NaN
6/5/2006,77.38,77.38,77.38,77.38,NaN,NaN
6/6/2006,78.66,78.66,78.66,78.66,NaN,NaN
6/7/2006,73.86,73.86,73.86,73.86,NaN,NaN
6/8/2006,78.12,78.12,78.12,78.12,NaN,NaN
6/9/2006,79.87,79.87,79.87,79.87,NaN,NaN
6/12/2006,83.52,83.52,83.52,83.52,NaN,NaN
6/13/2006,93.2,93.2,93.2,93.2,NaN,NaN
6/14/2006,102.11,102.11,102.11,102.11,NaN,NaN
6/15/2006,99.13,99.13,99.13,99.13,NaN,NaN
6/16/2006,106.93,106.93,106.93,106.93,NaN,NaN
6/19/2006,102.56,102.56,102.56,102.56,NaN,NaN
6/20/2006,94.76,94.76,94.76,94.76,NaN,NaN
6/21/2006,92.4,92.4,92.4,92.4,NaN,NaN
6/22/2006,91.85,91.85,91.85,91.85,NaN,NaN
6/23/2006,86.81,86.81,86.81,86.81,NaN,NaN
6/26/2006,90.71,90.71,90.71,90.71,NaN,NaN
6/27/2006,95.12,95.12,95.12,95.12,NaN,NaN
6/28/2006,96.44,96.44,96.44,96.44,NaN,NaN
6/29/2006,96.63,96.63,96.63,96.63,NaN,NaN
6/30/2006,92.1,92.1,92.1,92.1,NaN,NaN
7/3/2006,89.13,89.13,89.13,89.13,NaN,NaN
7/5/2006,91.98,91.98,91.98,91.98,NaN,NaN
7/6/2006,92.88,92.88,92.88,92.88,NaN,NaN
7/7/2006,91.46,91.46,91.46,91.46,NaN,NaN
7/10/2006,93.52,93.52,93.52,93.52,NaN,NaN
7/11/2006,91.99,91.99,91.99,91.99,NaN,NaN
7/24/2006,99.61,99.61,99.61,99.61,NaN,NaN
7/25/2006,94.97,94.97,94.97,94.97,NaN,NaN
7/26/2006,89.23,89.23,89.23,89.23,NaN,NaN
7/27/2006,95.29,95.29,95.29,95.29,NaN,NaN
7/28/2006,93.16,93.16,93.16,93.16,NaN,NaN
7/31/2006,92.79,92.79,92.79,92.79,NaN,NaN
8/1/2006,92.67,92.67,92.67,92.67,NaN,NaN
8/2/2006,91.34,91.34,91.34,91.34,NaN,NaN
8/3/2006,89.24,89.24,89.24,89.24,NaN,NaN
8/4/2006,90.68,90.68,90.68,90.68,NaN,NaN
8/7/2006,89.58,89.58,89.58,89.58,NaN,NaN
8/8/2006,88.09,88.09,88.09,88.09,NaN,NaN
8/16/2006,57.01,57.01,57.01,57.01,NaN,NaN
8/21/2006,80.68,80.68,80.68,80.68,NaN,NaN
8/22/2006,78.75,78.75,78.75,78.75,NaN,NaN
8/23/2006,81.15,81.15,81.15,81.15,NaN,NaN
8/24/2006,79.7,79.7,79.7,79.7,NaN,NaN
8/25/2006,81.94,81.94,81.94,81.94,NaN,NaN
8/28/2006,79.47,79.47,79.47,79.47,NaN,NaN
8/29/2006,81.8,81.8,81.8,81.8,NaN,NaN
8/30/2006,80.77,80.77,80.77,80.77,NaN,NaN
8/31/2006,79.84,79.84,79.84,79.84,NaN,NaN
9/1/2006,77.19,77.19,77.19,77.19,NaN,NaN
9/5/2006,80.18,80.18,80.18,80.18,NaN,NaN
9/6/2006,82.96,82.96,82.96,82.96,NaN,NaN
9/7/2006,86.18,86.18,86.18,86.18,NaN,NaN
9/8/2006,83.7,83.7,83.7,83.7,NaN,NaN
9/11/2006,85.78,85.78,85.78,85.78,NaN,NaN
9/12/2006,80.99,80.99,80.99,80.99,NaN,NaN
9/13/2006,81.55,81.55,81.55,81.55,NaN,NaN
9/14/2006,81.93,81.93,81.93,81.93,NaN,NaN
9/15/2006,59.52,59.52,59.52,59.52,NaN,NaN
9/18/2006,80.97,80.97,80.97,80.97,NaN,NaN
9/19/2006,81.77,81.77,81.77,81.77,NaN,NaN
9/20/2006,80.83,80.83,80.83,80.83,NaN,NaN
9/21/2006,85.95,85.95,85.95,85.95,NaN,NaN
9/22/2006,85.74,85.74,85.74,85.74,NaN,NaN
9/25/2006,82.01,82.01,82.01,82.01,NaN,NaN
9/26/2006,81.59,81.59,81.59,81.59,NaN,NaN
9/27/2006,81.08,81.08,81.08,81.08,NaN,NaN
9/28/2006,84.74,84.74,84.74,84.74,NaN,NaN
9/29/2006,84.31,84.31,84.31,84.31,NaN,NaN
10/2/2006,85.46,85.46,85.46,85.46,NaN,NaN
10/3/2006,86.57,86.57,86.57,86.57,NaN,NaN
10/4/2006,82.5,82.5,82.5,82.5,NaN,NaN
10/5/2006,87.5,87.5,87.5,87.5,NaN,NaN
10/6/2006,85.63,85.63,85.63,85.63,NaN,NaN
10/9/2006,84.76,84.76,84.76,84.76,NaN,NaN
10/10/2006,83.62,83.62,83.62,83.62,NaN,NaN
10/11/2006,88.4,88.4,88.4,88.4,NaN,NaN
10/12/2006,86.87,86.87,86.87,86.87,NaN,NaN
10/13/2006,86.61,86.61,86.61,86.61,NaN,NaN
10/16/2006,82.29,82.29,82.29,82.29,NaN,NaN
10/17/2006,66.99,66.99,66.99,66.99,NaN,NaN
10/18/2006,79.1,79.1,79.1,79.1,NaN,NaN
10/19/2006,77.71,77.71,77.71,77.71,NaN,NaN
10/20/2006,78.6,78.6,78.6,78.6,NaN,NaN
10/23/2006,84.73,84.73,84.73,84.73,NaN,NaN
10/24/2006,87.39,87.39,87.39,87.39,NaN,NaN
10/25/2006,85.9,85.9,85.9,85.9,NaN,NaN
10/26/2006,81.6,81.6,81.6,81.6,NaN,NaN
10/27/2006,82.71,82.71,82.71,82.71,NaN,NaN
10/30/2006,80.16,80.16,80.16,80.16,NaN,NaN
10/31/2006,76.4,76.4,76.4,76.4,NaN,NaN
11/1/2006,78.89,78.89,78.89,78.89,NaN,NaN
11/2/2006,77.08,77.08,77.08,77.08,NaN,NaN
11/3/2006,75.19,75.19,75.19,75.19,NaN,NaN
11/6/2006,70.46,70.46,70.46,70.46,NaN,NaN
11/7/2006,67.5,67.5,67.5,67.5,NaN,NaN
11/8/2006,62.08,62.08,62.08,62.08,NaN,NaN
11/9/2006,60.42,60.42,60.42,60.42,NaN,NaN
11/10/2006,61.06,61.06,61.06,61.06,NaN,NaN
11/13/2006,36.14,36.14,36.14,36.14,NaN,NaN
11/14/2006,60.77,60.77,60.77,60.77,NaN,NaN
11/15/2006,58.58,58.58,58.58,58.58,NaN,NaN
11/16/2006,62.48,62.48,62.48,62.48,NaN,NaN
11/17/2006,64.3,64.3,64.3,64.3,NaN,NaN
